frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
198,114.4307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,114.4471
199,110.1129,0.8576,2.0116,0.0047,0.0050,0.0109,0.0115,4.1760,114.2889
200,108.5877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0261,108.6138
201,99.4081,0.5967,1.5921,0.0034,0.0026,0.0060,0.0077,3.4315,102.8396
202,120.0659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,120.0861
203,113.1396,1.0994,2.1760,0.0051,0.0056,0.0072,0.0145,4.9480,118.0876
204,105.4170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,105.4283
205,121.1644,1.0999,1.9512,0.0037,0.0043,0.0227,0.0114,4.5121,125.6765
206,114.3823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,114.3967
207,110.8677,0.6869,1.5963,0.0014,0.0040,0.0039,0.0077,3.3123,114.1800
208,106.3843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0148,106.3991
209,119.3637,0.9893,2.0873,2.8859,0.0040,0.0050,0.0082,7.5258,126.8895
210,130.1928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,130.2021
211,110.6802,1.0682,2.6010,3.3386,0.0039,0.0076,0.0148,8.6523,119.3325
212,95.8506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0254,95.8760
213,97.9059,0.5894,1.4835,3.1944,0.0109,0.0116,0.0204,6.4836,104.3895
214,101.8004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,101.8100
215,108.7971,1.3251,3.1253,2.4072,0.0054,0.0049,0.0084,8.6651,117.4622
216,110.2089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,110.2201
217,96.7277,0.6260,2.6488,3.3717,0.0079,0.0110,0.0168,8.0063,104.7340
218,104.8269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,104.8457
219,165.3607,1.0723,2.3246,5.1821,0.0034,0.0049,0.0108,10.3687,175.7294
220,110.9130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,110.9263
221,121.2854,1.2704,2.6716,3.8164,0.0035,0.0239,0.0153,9.6884,130.9738
222,122.1362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0186,122.1548
223,114.9387,1.5589,2.4576,3.8617,0.0070,0.0083,0.0203,10.5216,125.4603
224,130.2687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,130.2856
225,114.8401,0.6522,2.3011,3.3525,0.0102,0.0123,0.0174,7.7635,122.6036
226,106.6971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,106.7113
227,119.9129,1.1774,2.0546,3.4392,0.0082,0.0118,0.0181,8.7756,128.6885
228,111.8965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,111.9107
229,111.1816,1.5179,3.7485,4.0911,0.0085,0.0125,0.0180,11.4385,122.6201
230,120.7109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,120.7241
231,114.5480,0.9144,2.4624,4.3542,0.0056,0.0080,0.0166,9.5434,124.0914
232,113.1722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,113.1909
233,116.8147,0.6874,1.4940,3.6354,0.0029,0.0027,0.0065,6.9394,123.7541
234,104.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,105.0123
235,111.2885,1.2443,2.4591,3.6592,0.0029,0.0051,0.0085,9.1436,120.4321
236,111.2503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,111.2683
237,102.6367,0.8656,1.4775,3.5409,0.0027,0.0034,0.0065,7.2808,109.9175
238,65.5098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,65.5175
239,99.3048,0.7615,1.5592,3.8621,0.0040,0.0052,0.0102,7.4335,106.7383
240,117.3370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,117.3447
241,116.8633,0.8498,2.6844,3.8059,0.0042,0.0074,0.0167,8.7533,125.6166
242,103.1324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,103.1377
243,113.2883,0.7887,1.7156,5.1143,0.0078,0.0075,0.0131,9.0585,122.3468
