frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
97,102.9027,0.4024,0.0005,0.0015,0.0020,0.0033,0.0068,1.1361,104.0388
98,88.6918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,88.6982
99,76.6426,0.3205,0.0004,0.0013,0.0019,0.0025,0.0063,0.9368,77.5794
100,61.2464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,61.2533
101,59.8010,0.3070,0.0006,0.0016,0.0019,0.0032,0.0064,0.9321,60.7331
102,65.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,65.0063
103,80.7786,0.3344,0.0005,0.0015,0.0023,0.0023,0.0053,0.9558,81.7344
104,62.9201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,62.9293
105,59.8143,0.3282,0.0006,0.0015,0.0019,0.0025,0.0067,0.9965,60.8108
106,68.6733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,68.6789
107,59.2062,0.3887,0.0010,0.0029,0.0029,0.0038,0.0079,1.2083,60.4145
108,136.4551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,136.4623
109,66.4285,0.3309,0.0008,0.0020,0.0021,0.0032,0.0070,0.9972,67.4257
110,138.4594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,138.4665
111,65.9529,0.3445,0.0004,0.0017,0.0019,0.0028,0.0076,1.0734,67.0263
112,68.7891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,68.7956
113,63.0451,0.3880,0.0006,0.0016,0.0022,71.7893,0.0145,72.9343,135.9794
114,64.3943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,64.4000
115,63.2802,0.4107,0.0006,0.0017,0.0021,0.0021,0.0076,1.2986,64.5788
116,69.5094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,69.5158
117,63.2555,0.5594,0.0007,0.0022,0.0035,0.0041,0.0096,1.2873,64.5428
118,64.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,64.6976
119,74.9175,0.3604,0.0007,0.0022,0.0030,0.0041,0.0080,1.0781,75.9956
120,141.1968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,141.2045
121,112.4251,0.4305,0.0007,0.0020,0.0024,0.0019,0.0067,1.1146,113.5397
122,87.6123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,87.6183
123,102.9967,0.3594,0.0007,0.0017,0.0019,0.0021,0.0078,1.0512,104.0479
124,99.6035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,99.6109
125,81.0027,0.3451,0.0007,0.0016,0.0024,0.0024,0.0069,1.0020,82.0047
126,92.2751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0055,92.2806
127,105.8931,0.3369,0.0006,0.0017,0.0022,0.0025,0.0072,1.0087,106.9018
128,111.8273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,111.8335
129,87.6640,0.3235,0.0006,0.0016,0.0038,0.0019,0.0102,1.0441,88.7081
130,79.8095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,79.8196
131,92.1084,0.3246,0.0006,0.0017,0.0020,0.0021,0.0063,0.9957,93.1041
132,113.5692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0055,113.5747
133,76.0782,0.3387,0.0005,0.0015,0.0030,0.0019,0.0067,1.2516,77.3298
134,90.1749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,90.1823
135,110.2030,0.3068,0.0012,0.0015,0.0023,0.0019,0.0067,1.2235,111.4265
136,77.5025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,77.5107
137,85.9945,0.2936,0.0013,0.0021,0.0021,0.0019,0.0067,0.9711,86.9656
138,98.4905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,98.4961
139,85.7250,0.2823,0.0006,0.0015,0.0021,0.0021,0.0065,0.9573,86.6823
140,86.2702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,86.2782
141,74.4836,0.3111,0.0006,0.0016,0.0024,0.0022,0.0072,0.9614,75.4450
142,96.1280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,96.1338
143,183.0541,0.3304,0.0007,0.0016,0.0023,0.0020,0.0068,1.0542,184.1083
144,105.2303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,105.2385
145,115.9627,0.3308,0.0006,0.0016,0.0025,0.0023,0.0076,1.0867,117.0494
146,129.6819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,129.6884
147,91.8812,0.3387,0.0007,0.0017,0.0026,0.0024,0.0079,1.0749,92.9561
148,114.7445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,114.7504
149,106.3963,0.3367,0.0005,0.0016,0.0033,0.0019,0.0064,1.0784,107.4747
150,73.4414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,73.4480
151,70.7451,0.3459,0.0005,0.0015,0.0031,0.0021,0.0074,1.0084,71.7535
152,65.7398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,65.7478
153,60.2719,0.3380,0.0006,0.0023,0.0030,0.0027,0.0065,1.1766,61.4485
154,63.1867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,63.1967
155,64.1772,0.5365,0.0117,0.0023,0.0029,0.0027,0.0077,2.0885,66.2657
156,63.7253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,63.7356
157,68.1686,0.3088,0.0006,0.0021,0.0023,0.0019,0.0074,1.0224,69.1910
158,66.7231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0147,66.7378
159,58.3712,0.4548,0.0006,0.0018,0.0029,0.0020,0.0065,1.7114,60.0826
160,59.2847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,59.3007
161,57.4733,0.4332,0.0006,0.0015,0.0019,0.0020,0.0065,1.5776,59.0509
162,133.7507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0124,133.7631
163,59.8129,0.3347,0.0005,0.0018,0.0027,0.0021,0.0063,1.5347,61.3476
164,99.1453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,99.1556
165,71.5311,0.4102,0.0006,0.0142,0.0027,0.0025,0.0072,1.4985,73.0296
166,108.3053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,108.3155
167,88.2838,0.3574,0.0005,0.0015,0.0031,0.0020,0.0070,1.4648,89.7486
168,99.7544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,99.7600
169,122.0061,0.3545,0.0006,0.0018,0.0022,0.0023,0.0069,1.3925,123.3986
170,97.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,97.0289
171,81.2077,0.3869,0.0006,0.0016,0.0025,0.0024,0.0069,1.4747,82.6824
172,93.2047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,93.2168
173,105.7586,0.3665,0.0005,0.0019,0.0025,0.0021,0.0077,1.5042,107.2628
174,135.5333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0290,135.5623
175,109.1430,1.1242,0.2911,0.0020,0.0032,0.0039,0.0072,2.8380,111.9810
176,88.2372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097,88.2469
177,89.3691,1.0124,0.2078,0.0014,0.0030,0.0027,0.0059,2.6636,92.0327
178,137.7057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,137.7183
179,128.7643,0.9323,0.2200,0.0017,0.0023,0.0028,0.0062,2.5466,131.3109
180,104.7877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0172,104.8049
181,105.8077,0.9512,0.2104,0.0021,0.0022,0.0030,0.0071,2.3703,108.1780
182,116.0999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,116.1069
183,86.7444,0.8774,0.2060,0.0016,0.0024,0.0026,0.0064,2.5094,89.2538
184,135.8954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097,135.9051
185,112.0691,0.9205,0.2280,0.0016,0.0036,0.0037,0.0062,2.4393,114.5084
186,133.4369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,133.4468
187,132.3379,0.8884,0.2088,0.0022,0.0022,0.0028,0.0067,2.5093,134.8472
188,102.2249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,102.2360
189,91.4766,0.9313,0.2037,0.0023,0.0024,0.0031,0.0065,2.6004,94.0770
190,73.0863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,73.0965
191,96.2603,0.8757,0.2020,0.0020,0.0026,0.0029,0.0065,2.4675,98.7278
192,101.2574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,101.2691
193,132.1008,0.8988,0.2154,0.0016,0.0021,0.0023,0.0065,2.6444,134.7452
194,100.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,100.3941
195,87.0155,0.9348,0.2240,0.0018,0.0029,0.0033,0.0073,2.9029,89.9184
196,117.5477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,117.5605
197,98.1790,1.3789,0.3692,0.0025,0.0035,0.0042,0.0090,3.9322,102.1112
198,100.5913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,100.6007
199,90.9162,0.9213,0.2216,0.0017,0.0028,0.0025,0.0068,2.5733,93.4895
200,78.2839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,78.2937
201,59.7789,0.9261,0.2291,0.0017,0.0022,0.0025,0.0065,2.7553,62.5342
